Frequency (Hz),Magnitude (dB),Phase (Degrees)
1000.0,13.033896928426,-11.5526326177108
1002.3052380779,13.0343671700456,-11.5802653223004
1004.6157902784,13.0348394380719,-11.6079686944615
1006.9316688518,13.0353137404715,-11.6357429456693
1009.25288607668,13.0357900852344,-11.6635882882257
1011.5794542599,13.0362684803738,-11.6915049352632
1013.91138573668,13.0367489339259,-11.7194931007496
1016.2486928707,13.0372314539502,-11.7475529994917
1018.59138805412,13.0377160485292,-11.7756848471401
1020.93948370768,13.0382027257683,-11.8038888601935
1023.29299228075,13.0386914937961,-11.832165256003
1025.65192625141,13.0391823607642,-11.8605142527766
1028.01629812647,13.039675334847,-11.8889360695835
1030.38612044162,13.0401704242418,-11.917430926359
1032.7614057614,13.0406676371689,-11.9459990439084
1035.14216667934,13.0411669818711,-11.974640643912
1037.52841581801,13.0416684666144,-12.0033559489295
1039.92016582906,13.0421720996871,-12.0321451824048
1042.3174293933,13.0426778894003,-12.0610085686699
1044.7202192208,13.0431858440878,-12.0899463329507
1047.1285480509,13.0436959721059,-12.1189587013705
1049.54242865232,13.0442082818333,-12.1480459009557
1051.96187382322,13.0447227816712,-12.1772081596398
1054.38689639126,13.0452394800432,-12.2064457062685
1056.81750921366,13.0457583853953,-12.2357587706045
1059.25372517729,13.0462795061955,-12.2651475833322
1061.69555719872,13.0468028509343,-12.2946123760627
1064.14301822431,13.047328428124,-12.3241533813386
1066.59612123026,13.0478562462993,-12.3537708326387
1069.05487922266,13.0483863140166,-12.3834649643833
1071.51930523761,13.0489186398543,-12.4132360119391
1073.98941234124,13.0494532324127,-12.443084211624
1076.46521362983,13.0499901003137,-12.4730098007122
1078.94672222983,13.0505292522009,-12.5030130174394
1081.43395129794,13.0510706967397,-12.5330941010078
1083.9269140212,13.0516144426167,-12.5632532915912
1086.42562361706,13.05216049854,-12.5934908303404
1088.93009333343,13.0527088732393,-12.6238069593878
1091.44033644875,13.0532595754651,-12.6542019218533
1093.95636627209,13.0538126139893,-12.6846759618491
1096.47819614318,13.0543679976049,-12.7152293244852
1099.00583943252,13.0549257351255,-12.7458622558748
1101.53930954141,13.0554858353859,-12.7765750031393
1104.07861990207,13.0560483072416,-12.807367814414
1106.62378397766,13.0566131595684,-12.8382409388534
1109.1748152624,13.057180401263,-12.8691946266367
1111.73172728159,13.0577500412423,-12.9002291289731
1114.29453359173,13.0583220884436,-12.9313446981078
1116.86324778056,13.0588965518242,-12.9625415873267
1119.43788346715,13.0594734403616,-12.9938200509631
1122.01845430196,13.0600527630533,-13.0251803444023
1124.60497396692,13.0606345289163,-13.0566227240879
1127.19745617551,13.0612187469877,-13.0881474475271
1129.79591467279,13.0618054263237,-13.1197547732969
1132.40036323555,13.0623945760003,-13.1514449610491
1135.01081567231,13.0629862051125,-13.183218271517
1137.62728582343,13.0635803227745,-13.2150749665206
1140.24978756117,13.0641769381195,-13.2470153089727
1142.87833478977,13.0647760602996,-13.2790395628846
1145.51294144553,13.0653776984855,-13.3111479933724
1148.15362149688,13.0659818618665,-13.3433408666628
1150.80038894443,13.0665885596501,-13.3756184500989
1153.45325782109,13.0671978010624,-13.4079810121466
1156.1122421921,13.0678095953471,-13.4404288224005
1158.77735615512,13.0684239517661,-13.4729621515901
1161.44861384034,13.0690408795989,-13.5055812715857
1164.12602941049,13.0696603881426,-13.5382864554052
1166.80961706096,13.0702824867116,-13.5710779772196
1169.49939101987,13.0709071846375,-13.6039561123599
1172.19536554813,13.0715344912691,-13.636921137323
1174.89755493953,13.0721644159716,-13.6699733297784
1177.6059735208,13.0727969681273,-13.7031129685742
1180.32063565173,13.0734321571347,-13.7363403337438
1183.04155572516,13.0740699924084,-13.7696557065125
1185.76874816716,13.0747104833793,-13.8030593693036
1188.50222743701,13.075353639494,-13.8365516057452
1191.24200802737,13.0759994702146,-13.8701327006771
1193.98810446427,13.0766479850189,-13.9038029401567
1196.74053130724,13.0772991933996,-13.9375626114664
1199.49930314937,13.0779531048645,-13.9714120031198
1202.26443461741,13.0786097289361,-14.0053514048688
1205.03594037179,13.0792690751514,-14.0393811077102
1207.81383510678,13.0799311530617,-14.0735014038927
1210.59813355048,13.0805959722323,-14.1077125869237
1213.38885046497,13.0812635422423,-14.142014951576
1216.18600064636,13.0819338726843,-14.1764087938952
1218.98959892486,13.0826069731643,-14.2108944112066
1221.79966016487,13.0832828533013,-14.2454721021218
1224.61619926504,13.083961522727,-14.2801421665465
1227.4392311584,13.0846429910855,-14.3149049056872
1230.26877081238,13.0853272680335,-14.3497606220582
1233.1048332289,13.0860143632393,-14.3847096194897
1235.9474334445,13.0867042863831,-14.4197522031338
1238.79658653036,13.0873970471564,-14.454888679473
1241.65230759241,13.0880926552618,-14.490119356327
1244.51461177138,13.0887911204128,-14.5254445428598
1247.38351424294,13.0894924523333,-14.5608645495881
1250.25903021771,13.0901966607575,-14.5963796883877
1253.14117494141,13.0909037554295,-14.631990272502
1256.02996369487,13.0916137461028,-14.6676966165488
1258.92541179416,13.0923266425405,-14.7034990365285
1261.82753459066,13.0930424545143,-14.7393978498316
1264.73634747115,13.0937611918048,-14.7753933752463
1267.65186585784,13.0944828642007,-14.8114859329666
1270.57410520854,13.0952074814986,-14.8476758445996
1273.50308101666,13.0959350535027,-14.883963433174
1276.43880881134,13.0966655900247,-14.9203490231476
1279.38130415752,13.0973991008827,-14.9568329404153
1282.33058265601,13.0981355959017,-14.9934155123174
1285.28665994361,13.0988750849127,-15.0300970676473
1288.24955169313,13.0996175777523,-15.0668779366599
1291.21927361353,13.1003630842628,-15.1037584510795
1294.19584144998,13.1011116142911,-15.1407389441085
1297.17927098395,13.1018631776891,-15.177819750435
1300.16957803328,13.1026177843126,-15.2150012062415
1303.16677845229,13.1033754440212,-15.2522836492134
1306.17088813183,13.1041361666781,-15.2896674185472
1309.1819229994,13.1048999621491,-15.327152854959
1312.1998990192,13.1056668403027,-15.3647403006927
1315.22483219223,13.1064368110097,-15.4024300995295
1318.2567385564,13.1072098841421,-15.4402225967954
1321.29563418657,13.1079860695734,-15.4781181393706
1324.34153519466,13.1087653771778,-15.5161170756981
1327.39445772973,13.1095478168298,-15.5542197557923
1330.45441797808,13.1103333984035,-15.592426531248
1333.52143216332,13.1111221317726,-15.6307377552491
1336.59551654643,13.1119140268096,-15.6691537825778
1339.67668742593,13.1127090933852,-15.7076749696233
1342.76496113786,13.1135073413681,-15.7463016743914
1345.86035405594,13.1143087806244,-15.7850342565126
1348.96288259164,13.1151134210169,-15.8238730772524
1352.07256319427,13.1159212724048,-15.8628184995198
1355.18941235103,13.1167323446432,-15.9018708878765
1358.31344658715,13.1175466475822,-15.9410306085469
1361.44468246594,13.1183641910669,-15.9802980294268
1364.58313658892,13.1191849849364,-16.019673520093
1367.72882559584,13.1200090390234,-16.0591574518131
1370.88176616484,13.1208363631537,-16.0987501975548
1374.04197501251,13.1216669671455,-16.1384521319953
1377.20946889394,13.1225008608089,-16.1782636315314
1380.38426460288,13.1233380539452,-16.2181850742889
1383.56637897177,13.1241785563465,-16.2582168401326
1386.75582887188,13.1250223777947,-16.298359310676
1389.95263121334,13.1258695280616,-16.3386128692911
1393.15680294529,13.1267200169072,-16.3789779011185
1396.36836105593,13.1275738540802,-16.4194547930775
1399.58732257261,13.1284310493164,-16.460043933876
1402.81370456195,13.1292916123388,-16.5007457140206
1406.0475241299,13.1301555528564,-16.5415605258269
1409.28879842186,13.1310228805637,-16.5824887634299
1412.53754462274,13.1318936051401,-16.6235308227938
1415.79377995707,13.1327677362489,-16.6646871017231
1419.05752168908,13.1336452835373,-16.7059579998722
1422.32878712281,13.1345262566347,-16.7473439187568
1425.60759360218,13.1354106651527,-16.7888452617635
1428.89395851109,13.1362985186842,-16.8304624341613
1432.18789927353,13.1371898268024,-16.8721958431117
1435.48943335364,13.1380845990604,-16.9140458976795
1438.79857825583,13.1389828449901,-16.9560130088441
1442.11535152486,13.1398845741016,-16.9980975895096
1445.43977074592,13.1407897958827,-17.0403000545162
1448.77185354475,13.1416985197973,-17.0826208206513
1452.11161758773,13.1426107552853,-17.1250603066603
1455.45908058195,13.1435265117616,-17.1676189332576
1458.81426027534,13.1444457986152,-17.2102971231381
1462.17717445671,13.1453686252082,-17.2530953009884
1465.5478409559,13.1462950008752,-17.296013893498
1468.92627764385,13.1472249349224,-17.3390533293705
1472.31250243271,13.1481584366265,-17.3822140393356
1475.70653327588,13.149095515234,-17.42549645616
1479.10838816819,13.1500361799604,-17.4689010146595
1482.51808514594,13.1509804399887,-17.5124281517099
1485.93564228699,13.1519283044694,-17.5560783062599
1489.3610777109,13.1528797825186,-17.5998519193415
1492.79440957898,13.1538348832177,-17.6437494340829
1496.23565609442,13.1547936156122,-17.6877712957198
1499.68483550236,13.1557559887106,-17.7319179516078
1503.14196609001,13.1567220114835,-17.7761898512341
1506.60706618673,13.1576916928628,-17.8205874462297
1510.08015416413,13.1586650417403,-17.8651111903818
1513.56124843619,13.1596420669668,-17.9097615396456
1517.05036745932,13.1606227773513,-17.9545389521572
1520.54752973248,13.1616071816594,-17.9994438882454
1524.05275379728,13.1625952886128,-18.0444768104446
1527.56605823806,13.1635871068878,-18.089638183507
1531.08746168201,13.1645826451142,-18.1349284744154
1534.61698279928,13.1655819118745,-18.1803481523959
1538.15464030302,13.1665849157023,-18.2258976889305
1541.70045294954,13.1675916650817,-18.2715775577697
1545.2544395384,13.1686021684455,-18.3173882349459
1548.81661891247,13.1696164341745,-18.3633301987858
1552.38700995807,13.170634470596,-18.409403929924
1555.96563160506,13.1716562859827,-18.4556099113153
1559.55250282694,13.1726818885514,-18.5019486282487
1563.14764264094,13.1737112864621,-18.5484205683599
1566.75107010813,13.174744487816,-18.5950262216452
1570.36280433354,13.1757815006549,-18.6417660804745
1573.9828644662,13.1768223329595,-18.6886406396046
1577.61126969933,13.1778669926483,-18.7356503961934
